2026-02-26T14:44:27Z watchdog: log file missing, no action
2026-03-04T12:55:01Z watchdog: stalled (age=54m) but max restarts reached (10), no action
2026-03-04T13:00:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-04T13:25:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-04T13:30:02Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-04T13:45:01Z watchdog: stalled (age=104m) but max restarts reached (10), no action
2026-03-04T13:50:01Z watchdog: stalled (age=109m) but max restarts reached (10), no action
2026-03-04T14:10:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-04T14:20:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-04T14:25:02Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-04T14:30:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-04T14:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-04T14:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-04T14:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-04T14:55:01Z watchdog: stalled (age=174m) but max restarts reached (10), no action
2026-03-04T15:00:01Z watchdog: stalled (age=179m) but max restarts reached (10), no action
2026-03-04T15:05:01Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-04T15:10:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-04T15:15:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-04T15:20:01Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-03-04T15:25:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-04T15:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-04T15:45:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-04T16:00:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-04T16:05:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-04T16:10:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-04T16:15:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-04T16:20:01Z watchdog: stalled (age=259m) but max restarts reached (10), no action
2026-03-04T16:25:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-03-04T16:30:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-04T16:35:02Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-04T16:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-04T17:00:01Z watchdog: stalled (age=299m) but max restarts reached (10), no action
2026-03-04T17:05:01Z watchdog: stalled (age=304m) but max restarts reached (10), no action
2026-03-04T17:25:01Z watchdog: stalled (age=324m) but max restarts reached (10), no action
2026-03-04T17:35:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-04T17:40:02Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-04T17:50:01Z watchdog: stalled (age=349m) but max restarts reached (10), no action
2026-03-04T17:55:01Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-03-04T18:00:01Z watchdog: healthy (age=0m), no action
2026-03-04T18:05:01Z watchdog: healthy (age=4m), no action
2026-03-04T18:10:01Z watchdog: healthy (age=9m), no action
2026-03-04T18:15:01Z watchdog: healthy (age=14m), no action
2026-03-04T18:20:01Z watchdog: healthy (age=19m), no action
2026-03-04T18:25:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-04T18:35:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-04T18:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-04T19:05:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-04T19:15:01Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-04T19:20:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-04T19:25:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-04T19:30:01Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-04T19:35:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-04T19:50:01Z watchdog: stalled (age=109m) but max restarts reached (10), no action
2026-03-04T19:55:01Z watchdog: stalled (age=114m) but max restarts reached (10), no action
2026-03-04T20:00:01Z watchdog: stalled (age=119m) but max restarts reached (10), no action
2026-03-04T20:05:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-04T20:10:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-04T20:20:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-04T20:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-04T20:30:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-04T20:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-04T20:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-04T21:00:01Z watchdog: stalled (age=179m) but max restarts reached (10), no action
2026-03-04T21:10:02Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-04T21:35:02Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-03-04T21:40:01Z watchdog: stalled (age=219m) but max restarts reached (10), no action
2026-03-04T21:50:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-04T21:55:01Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-03-04T22:00:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-04T22:05:02Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-04T22:10:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-04T22:15:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-04T22:25:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-03-04T22:30:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-04T22:35:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-04T22:40:01Z watchdog: stalled (age=279m) but max restarts reached (10), no action
2026-03-04T22:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-04T23:00:01Z watchdog: stalled (age=299m) but max restarts reached (10), no action
2026-03-04T23:05:01Z watchdog: stalled (age=304m) but max restarts reached (10), no action
2026-03-04T23:10:02Z watchdog: stalled (age=309m) but max restarts reached (10), no action
2026-03-04T23:15:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-04T23:20:01Z watchdog: stalled (age=319m) but max restarts reached (10), no action
2026-03-04T23:40:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-04T23:45:01Z watchdog: stalled (age=344m) but max restarts reached (10), no action
2026-03-04T23:55:01Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-03-05T00:00:02Z watchdog: healthy (age=0m), no action
2026-03-05T00:10:01Z watchdog: healthy (age=9m), no action
2026-03-05T00:15:01Z watchdog: healthy (age=0m), no action
2026-03-05T00:20:01Z watchdog: healthy (age=4m), no action
2026-03-05T00:25:01Z watchdog: healthy (age=9m), no action
2026-03-05T00:30:01Z watchdog: healthy (age=14m), no action
2026-03-05T00:40:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-05T00:50:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-05T00:55:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-05T01:00:01Z watchdog: stalled (age=44m) but max restarts reached (10), no action
2026-03-05T01:10:01Z watchdog: stalled (age=54m) but max restarts reached (10), no action
2026-03-05T01:20:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-05T01:35:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-05T01:40:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-05T02:15:01Z watchdog: stalled (age=119m) but max restarts reached (10), no action
2026-03-05T02:20:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-05T02:25:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-05T02:30:02Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-05T02:35:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-05T02:40:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-05T02:45:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-05T02:55:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-05T03:00:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-05T03:05:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-05T03:25:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-05T03:30:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-05T03:40:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-05T03:55:02Z watchdog: stalled (age=219m) but max restarts reached (10), no action
2026-03-05T04:05:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-05T04:10:01Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-03-05T04:20:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-05T04:30:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-05T04:40:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-03-05T04:50:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-05T05:05:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-05T05:10:01Z watchdog: stalled (age=294m) but max restarts reached (10), no action
2026-03-05T05:15:01Z watchdog: stalled (age=299m) but max restarts reached (10), no action
2026-03-05T05:25:01Z watchdog: stalled (age=309m) but max restarts reached (10), no action
2026-03-05T05:30:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-05T05:35:01Z watchdog: stalled (age=319m) but max restarts reached (10), no action
2026-03-05T05:40:01Z watchdog: stalled (age=324m) but max restarts reached (10), no action
2026-03-05T05:45:02Z watchdog: stalled (age=329m) but max restarts reached (10), no action
2026-03-05T05:50:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-05T05:55:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-05T06:00:01Z watchdog: healthy (age=0m), no action
2026-03-05T06:05:01Z watchdog: healthy (age=4m), no action
2026-03-05T06:10:01Z watchdog: healthy (age=9m), no action
2026-03-05T06:20:01Z watchdog: healthy (age=19m), no action
2026-03-05T06:25:02Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-05T06:35:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-05T06:40:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-05T07:00:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-05T07:10:01Z watchdog: stalled (age=69m) but max restarts reached (10), no action
2026-03-05T07:15:01Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-05T07:20:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-05T07:30:01Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-05T07:35:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-05T07:40:01Z watchdog: stalled (age=99m) but max restarts reached (10), no action
2026-03-05T07:45:01Z watchdog: stalled (age=104m) but max restarts reached (10), no action
2026-03-05T07:55:01Z watchdog: stalled (age=114m) but max restarts reached (10), no action
2026-03-05T08:00:01Z watchdog: stalled (age=119m) but max restarts reached (10), no action
2026-03-05T08:05:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-05T08:10:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-05T08:15:01Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-05T08:20:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-05T08:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-05T08:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-05T08:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-05T08:45:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-05T08:55:01Z watchdog: stalled (age=174m) but max restarts reached (10), no action
2026-03-05T09:05:02Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-05T09:10:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-05T09:15:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-05T09:20:01Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-03-05T09:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-05T09:35:01Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-03-05T09:45:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-05T09:50:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-05T09:55:02Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-03-05T10:10:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-05T10:15:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-05T10:20:02Z watchdog: stalled (age=259m) but max restarts reached (10), no action
2026-03-05T10:30:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-05T10:35:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-05T10:40:01Z watchdog: stalled (age=279m) but max restarts reached (10), no action
2026-03-05T10:45:01Z watchdog: stalled (age=284m) but max restarts reached (10), no action
2026-03-05T10:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-05T10:55:01Z watchdog: stalled (age=294m) but max restarts reached (10), no action
2026-03-05T11:30:01Z watchdog: stalled (age=329m) but max restarts reached (10), no action
2026-03-05T11:35:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-05T11:40:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-05T12:00:01Z watchdog: healthy (age=0m), no action
2026-03-05T12:10:01Z watchdog: healthy (age=9m), no action
2026-03-05T12:15:01Z watchdog: healthy (age=14m), no action
2026-03-05T12:25:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-05T12:30:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-05T12:40:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-05T12:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-05T13:05:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-05T13:10:01Z watchdog: stalled (age=69m) but max restarts reached (10), no action
2026-03-05T13:15:01Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-05T13:25:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-05T13:30:02Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-05T13:35:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-05T13:45:01Z watchdog: stalled (age=104m) but max restarts reached (10), no action
2026-03-05T13:50:01Z watchdog: stalled (age=109m) but max restarts reached (10), no action
2026-03-05T14:05:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-05T14:15:02Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-05T14:20:02Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-05T14:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-05T14:30:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-05T14:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-05T14:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-05T14:45:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-05T14:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-05T15:05:01Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-05T15:15:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-05T15:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-05T15:40:01Z watchdog: stalled (age=219m) but max restarts reached (10), no action
2026-03-05T15:45:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-05T15:50:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-05T15:55:02Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-03-05T16:00:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-05T16:05:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-05T16:10:02Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-05T16:15:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-05T16:25:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-03-05T16:30:02Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-05T16:40:01Z watchdog: stalled (age=279m) but max restarts reached (10), no action
2026-03-05T16:45:01Z watchdog: stalled (age=284m) but max restarts reached (10), no action
2026-03-05T16:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-03-05T16:55:01Z watchdog: stalled (age=294m) but max restarts reached (10), no action
2026-03-05T17:10:01Z watchdog: stalled (age=309m) but max restarts reached (10), no action
2026-03-05T17:15:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-05T17:30:01Z watchdog: stalled (age=329m) but max restarts reached (10), no action
2026-03-05T17:35:02Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-05T17:50:01Z watchdog: stalled (age=349m) but max restarts reached (10), no action
2026-03-05T17:55:01Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-03-05T18:00:02Z watchdog: healthy (age=0m), no action
2026-03-05T18:05:01Z watchdog: healthy (age=4m), no action
2026-03-05T18:10:01Z watchdog: healthy (age=9m), no action
2026-03-05T18:20:01Z watchdog: healthy (age=19m), no action
2026-03-05T18:25:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-05T18:30:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-05T18:35:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-05T18:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-05T18:55:01Z watchdog: stalled (age=54m) but max restarts reached (10), no action
2026-03-05T19:00:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-05T19:10:01Z watchdog: stalled (age=69m) but max restarts reached (10), no action
2026-03-05T19:15:02Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-05T19:25:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-05T19:35:01Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-05T19:40:01Z watchdog: stalled (age=99m) but max restarts reached (10), no action
2026-03-05T20:05:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-05T20:10:02Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-05T20:15:01Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-05T20:20:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-05T20:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-05T20:30:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-05T20:45:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-05T20:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-05T20:55:01Z watchdog: stalled (age=174m) but max restarts reached (10), no action
2026-03-05T21:05:01Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-05T21:10:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-05T21:15:02Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-05T21:25:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-05T21:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-05T21:35:01Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-03-05T21:45:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-05T22:00:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-05T22:05:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-05T22:10:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-05T22:30:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-05T23:15:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-05T23:20:01Z watchdog: stalled (age=319m) but max restarts reached (10), no action
2026-03-05T23:25:01Z watchdog: stalled (age=324m) but max restarts reached (10), no action
2026-03-05T23:35:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-05T23:40:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-05T23:50:02Z watchdog: stalled (age=349m) but max restarts reached (10), no action
2026-03-05T23:55:01Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-03-06T00:00:01Z watchdog: healthy (age=0m), no action
2026-03-06T00:05:02Z watchdog: healthy (age=4m), no action
2026-03-06T00:10:01Z watchdog: healthy (age=9m), no action
2026-03-06T00:15:01Z watchdog: healthy (age=0m), no action
2026-03-06T00:20:02Z watchdog: healthy (age=4m), no action
2026-03-06T00:30:01Z watchdog: healthy (age=14m), no action
2026-03-06T00:40:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-03-06T00:45:01Z watchdog: stalled (age=29m) but max restarts reached (10), no action
2026-03-06T00:55:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-06T01:05:02Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-06T01:10:01Z watchdog: stalled (age=54m) but max restarts reached (10), no action
2026-03-06T01:15:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-06T01:20:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-06T01:30:02Z watchdog: stalled (age=74m) but max restarts reached (10), no action
2026-03-06T01:35:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-06T01:40:01Z watchdog: stalled (age=84m) but max restarts reached (10), no action
2026-03-06T01:45:01Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-03-06T01:50:02Z watchdog: stalled (age=94m) but max restarts reached (10), no action
2026-03-06T02:00:02Z watchdog: stalled (age=104m) but max restarts reached (10), no action
2026-03-06T02:15:01Z watchdog: stalled (age=119m) but max restarts reached (10), no action
2026-03-06T02:25:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-06T02:35:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-03-06T02:40:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-06T02:45:01Z watchdog: stalled (age=149m) but max restarts reached (10), no action
2026-03-06T02:50:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-06T03:00:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-06T03:05:02Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-06T03:15:01Z watchdog: stalled (age=179m) but max restarts reached (10), no action
2026-03-06T03:20:02Z watchdog: stalled (age=184m) but max restarts reached (10), no action
2026-03-06T03:25:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-06T03:35:01Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-03-06T03:40:01Z watchdog: stalled (age=204m) but max restarts reached (10), no action
2026-03-06T03:45:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-06T03:50:01Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-03-06T03:55:01Z watchdog: stalled (age=219m) but max restarts reached (10), no action
2026-03-06T04:00:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-03-06T04:05:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-03-06T04:10:02Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-03-06T04:15:01Z watchdog: stalled (age=239m) but max restarts reached (10), no action
2026-03-06T04:20:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-03-06T04:25:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-03-06T04:30:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-03-06T04:35:01Z watchdog: stalled (age=259m) but max restarts reached (10), no action
2026-03-06T04:45:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-03-06T04:50:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-03-06T04:55:01Z watchdog: stalled (age=279m) but max restarts reached (10), no action
2026-03-06T05:10:01Z watchdog: stalled (age=294m) but max restarts reached (10), no action
2026-03-06T05:15:02Z watchdog: stalled (age=299m) but max restarts reached (10), no action
2026-03-06T05:20:01Z watchdog: stalled (age=304m) but max restarts reached (10), no action
2026-03-06T05:25:01Z watchdog: stalled (age=309m) but max restarts reached (10), no action
2026-03-06T05:30:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-03-06T05:35:02Z watchdog: stalled (age=319m) but max restarts reached (10), no action
2026-03-06T05:40:01Z watchdog: stalled (age=324m) but max restarts reached (10), no action
2026-03-06T05:50:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-03-06T05:55:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-03-06T06:00:02Z watchdog: healthy (age=0m), no action
2026-03-06T06:05:01Z watchdog: healthy (age=4m), no action
2026-03-06T06:10:01Z watchdog: healthy (age=9m), no action
2026-03-06T06:15:01Z watchdog: healthy (age=14m), no action
2026-03-06T06:20:01Z watchdog: healthy (age=19m), no action
2026-03-06T06:35:01Z watchdog: stalled (age=34m) but max restarts reached (10), no action
2026-03-06T06:40:01Z watchdog: stalled (age=39m) but max restarts reached (10), no action
2026-03-06T06:50:01Z watchdog: stalled (age=49m) but max restarts reached (10), no action
2026-03-06T07:00:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-03-06T07:05:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-03-06T07:10:01Z watchdog: stalled (age=69m) but max restarts reached (10), no action
2026-03-06T07:20:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-03-06T07:40:01Z watchdog: stalled (age=99m) but max restarts reached (10), no action
2026-03-06T07:50:01Z watchdog: stalled (age=109m) but max restarts reached (10), no action
2026-03-06T07:55:01Z watchdog: stalled (age=114m) but max restarts reached (10), no action
2026-03-06T08:05:01Z watchdog: stalled (age=124m) but max restarts reached (10), no action
2026-03-06T08:10:01Z watchdog: stalled (age=129m) but max restarts reached (10), no action
2026-03-06T08:15:01Z watchdog: stalled (age=134m) but max restarts reached (10), no action
2026-03-06T08:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-03-06T08:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-03-06T08:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-03-06T08:45:01Z watchdog: stalled (age=164m) but max restarts reached (10), no action
2026-03-06T08:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-03-06T08:55:01Z watchdog: stalled (age=174m) but max restarts reached (10), no action
2026-03-06T09:10:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-03-06T09:15:01Z watchdog: stalled (age=194m) but max restarts reached (10), no action
2026-03-06T09:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-03-06T09:40:02Z watchdog: stalled (age=219m) but max restarts reached (10), no action
